airline,review_score,review_date,traveller_type,cabin,route,date_flown,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money,has_layover,pos_neu_neg_review,recommended
Turkish Airlines,1.0,2019-01-13,Solo Leisure,Economy Class,New York to Thessaloniki via Istanbul,2019-01-01,1.0,1.0,1.0,1.0,1.0,1.0,True,neg,False
Turkish Airlines,3.0,2019-01-11,Family Leisure,Economy Class,Cape Town to Sao Paulo via Istanbul,2019-01-01,3.0,3.0,3.0,4.0,3.0,2.0,True,neg,False
Turkish Airlines,1.0,2019-01-09,Solo Leisure,Economy Class,New York to Istanbul via Skopje,2019-01-01,4.0,4.0,3.0,3.0,1.0,3.0,True,neg,False
Turkish Airlines,8.0,2019-01-09,Solo Leisure,Economy Class,Riyadh to Manila via Istanbul,2018-12-01,5.0,5.0,5.0,3.0,4.0,3.0,True,pos,True
Turkish Airlines,2.0,2019-01-09,Solo Leisure,Economy Class,Belgrade to Kiev via Istanbul,2018-05-01,5.0,5.0,4.0,4.0,4.0,2.0,True,neg,True
Turkish Airlines,1.0,2019-01-07,Family Leisure,Economy Class,Atlanta to Addis Ababa via Istanbul,2018-12-01,2.0,2.0,2.0,1.0,1.0,1.0,True,neg,False
Turkish Airlines,1.0,2019-01-07,Solo Leisure,Economy Class,Washington to Addis Ababa via Istanbul,2018-11-01,1.0,1.0,1.0,1.0,1.0,1.0,True,neg,False
Turkish Airlines,1.0,2019-01-06,Business,Economy Class,Berlin to Erbil via Istanbul,2018-12-01,3.0,3.0,2.0,3.0,1.0,2.0,True,neg,False
Turkish Airlines,1.0,2019-01-05,Family Leisure,Economy Class,London Gatwick to Tashkent via Istanbul,2018-12-01,2.0,1.0,2.0,1.0,1.0,1.0,True,neg,False
Turkish Airlines,4.0,2019-01-04,Couple Leisure,Economy Class,Amsterdam to Abu Dhabi via Istanbul,2018-12-01,3.0,1.0,3.0,3.0,1.0,3.0,True,neg,False
Turkish Airlines,2.0,2019-01-03,Family Leisure,Economy Class,Istanbul to Johannesburg,2018-12-01,1.0,1.0,1.0,2.0,1.0,1.0,False,neg,False
Turkish Airlines,10.0,2019-01-02,Family Leisure,Business Class,Johannesburg to Istanbul,2019-01-01,5.0,5.0,5.0,4.0,5.0,5.0,False,pos,True
Turkish Airlines,1.0,2018-12-31,Solo Leisure,Business Class,Taipei to Sao Paulo via Istanbul,2018-12-01,2.0,1.0,1.0,2.0,1.0,1.0,True,neg,False
Turkish Airlines,1.0,2018-12-31,Family Leisure,Economy Class,Chicago to Athens via Istanbul,2018-12-01,2.0,1.0,1.0,1.0,1.0,1.0,True,neg,False
Turkish Airlines,6.0,2018-12-31,Solo Leisure,Business Class,London to Bangkok via Istanbul,2018-12-01,5.0,2.0,1.0,4.0,4.0,3.0,True,neu,False
Turkish Airlines,4.0,2018-12-24,Business,Economy Class,Vienna to Riyadh via Istanbul,2018-12-01,2.0,4.0,4.0,3.0,1.0,2.0,True,neg,False
Turkish Airlines,1.0,2018-12-24,Family Leisure,Economy Class,Istanbul to Abuja,2018-12-01,1.0,1.0,1.0,3.0,1.0,1.0,False,neg,False
Turkish Airlines,1.0,2018-12-22,Couple Leisure,Economy Class,Brussels to Istanbul via Beirut,2018-12-01,3.0,2.0,3.0,3.0,1.0,1.0,True,neg,False
Turkish Airlines,1.0,2018-12-15,Solo Leisure,Economy Class,Paris to Dar es Salaam via Istanbul,2018-12-01,1.0,2.0,2.0,1.0,1.0,1.0,True,neg,False
Turkish Airlines,5.0,2018-12-11,Business,Business Class,Vienna to San Francisco via Istanbul,2018-11-01,4.0,5.0,4.0,3.0,2.0,3.0,True,neu,False
Turkish Airlines,1.0,2018-12-10,Solo Leisure,Economy Class,Istanbul to Los Angeles,2018-12-01,2.0,1.0,2.0,3.0,1.0,1.0,False,neg,False
Turkish Airlines,8.0,2018-12-08,Business,Business Class,Istanbul to Baku,2018-12-01,5.0,5.0,5.0,5.0,3.0,5.0,False,pos,True
Turkish Airlines,4.0,2018-12-05,Solo Leisure,Economy Class,Istanbul to Bangkok,2018-11-01,3.0,3.0,4.0,3.0,3.0,3.0,False,neg,False
Turkish Airlines,3.0,2018-12-05,Solo Leisure,Economy Class,Toronto to Cairo via Istanbul,2018-11-01,3.0,3.0,3.0,4.0,1.0,1.0,True,neg,False
Turkish Airlines,3.0,2018-12-03,Solo Leisure,Economy Class,Ankara to Frankfurt,2018-12-01,3.0,2.0,2.0,3.0,2.0,3.0,False,neg,False
Turkish Airlines,3.0,2018-11-30,Business,Economy Class,FRA to ESB,2018-11-01,3.0,4.0,3.0,1.0,3.0,4.0,False,neg,True
Turkish Airlines,3.0,2018-11-30,Couple Leisure,Economy Class,Ankara to Amsterdam via Istanbul,2018-11-01,2.0,3.0,3.0,5.0,1.0,2.0,True,neg,False
Turkish Airlines,8.0,2018-11-26,Couple Leisure,Economy Class,Amsterdam to Havana via Istanbul,2018-11-01,4.0,3.0,5.0,5.0,3.0,5.0,True,pos,True
Turkish Airlines,1.0,2018-11-26,Family Leisure,Economy Class,Dublin to Phuket via Istanbul,2018-09-01,2.0,1.0,1.0,2.0,1.0,1.0,True,neg,False
Turkish Airlines,6.0,2018-11-25,Couple Leisure,Business Class,Amsterdam to Ankara via Istanbul,2018-11-01,5.0,4.0,5.0,3.0,1.0,2.0,True,neu,True
Turkish Airlines,1.0,2018-11-24,Family Leisure,Economy Class,Istanbul to Beirut,2018-11-01,2.0,2.0,2.0,1.0,1.0,1.0,False,neg,False
Turkish Airlines,3.0,2018-11-23,Solo Leisure,Economy Class,Manchester to Manila via Istanbul,2018-11-01,4.0,1.0,1.0,5.0,2.0,3.0,True,neg,False
Turkish Airlines,3.0,2018-11-22,Solo Leisure,Economy Class,London to Kigali via Istanbul,2018-11-01,4.0,3.0,3.0,3.0,1.0,3.0,True,neg,False
Turkish Airlines,8.0,2018-11-21,Solo Leisure,Economy Class,Izmir to Montreal via Istanbul,2018-11-01,4.0,5.0,5.0,5.0,4.0,5.0,True,pos,True
Turkish Airlines,2.0,2018-11-20,Business,Economy Class,Tel Aviv to Brussels via Istanbul,2018-10-01,1.0,4.0,1.0,3.0,3.0,1.0,True,neg,False
Turkish Airlines,10.0,2018-11-20,Solo Leisure,Economy Class,Izmir to Istanbul,2018-08-01,5.0,5.0,5.0,4.0,5.0,5.0,False,pos,True
Turkish Airlines,1.0,2018-11-19,Solo Leisure,Economy Class,Cairo to Dublin via Istanbul,2018-11-01,2.0,2.0,1.0,1.0,1.0,1.0,True,neg,False
Turkish Airlines,8.0,2018-11-17,Solo Leisure,Economy Class,Istanbul to Montreal,2018-10-01,4.0,5.0,5.0,4.0,3.0,5.0,False,pos,True
Turkish Airlines,1.0,2018-11-16,Family Leisure,Economy Class,San Francisco to Budapest via Istanbul,2018-10-01,2.0,2.0,2.0,2.0,1.0,1.0,True,neg,False
Turkish Airlines,4.0,2018-11-15,Business,Economy Class,Cologne to Bogota via Istanbul,2018-11-01,3.0,3.0,4.0,4.0,3.0,2.0,True,neg,False
Turkish Airlines,1.0,2018-11-14,Solo Leisure,Economy Class,Boston to Rome via Istanbul,2018-10-01,1.0,2.0,3.0,3.0,1.0,1.0,True,neg,False
